MOF, H,C,N,F,Cl,Br,Zn,Cu,Cd,Co,Mn,Ag,Ni,Fe,Mo,In,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen 
ABAVIJ_clean.cif,32,48,8,0,0,0,0,0,0,4,0,0,0,0,0,0, Co,31,8.333333333,4,0.222222222,0.734814815,0.5
ABAYIO_clean.cif,96,288,0,0,48,0,0,0,0,0,48,0,0,0,0,0, Mn,217,16.66666667,4,0.357142857,1.208571429,0
ABAYOU_clean.cif,96,288,0,0,48,0,0,0,0,48,0,0,0,0,0,0, Co,217,16.66666667,4,0.357142857,1.208571429,0
ABEFUL_clean.cif,48,88,8,0,0,0,0,0,0,0,0,0,0,0,0,0, ,63,2.272727273,12,0.179775281,0.600449438,0.333333333
ABESUX_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,3.2,0.64,2.2016,0
ABETAE_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,3.2,0.64,2.2016,0
ABETIN_clean.cif,288,416,64,0,0,0,0,16,0,0,0,0,0,0,0,0, Cu,257,3.846153846,0,0.081632653,0.248163265,0
ABEXEM_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEXEN_clean.cif,120,240,0,0,0,0,0,0,0,0,0,0,0,0,0,12, In,181,5,8,0.2,0.688,0
ABEXIQ_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEXOW_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEXUC_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
ABEYAJ_clean.cif,16,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,14.28571429,6,0.444444444,1.484444444,0.333333333
